IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
163.53.246.186,31731,443,true,HKG,Asia Pacific,Hong Kong,5,22.84
156.251.176.85,8464,443,true,HKG,Asia Pacific,Hong Kong,5,21.81
156.251.180.181,21698,443,true,HKG,Asia Pacific,Hong Kong,6,10.01
8.218.48.92,2087,2087,true,HKG,Asia Pacific,Hong Kong,6,9.92
8.218.48.92,2053,2053,true,HKG,Asia Pacific,Hong Kong,6,9.47
38.47.120.145,25955,443,true,HKG,Asia Pacific,Hong Kong,7,8.28
47.76.203.101,2096,2096,true,HKG,Asia Pacific,Hong Kong,6,6.82
8.218.48.92,2095,2095,false,HKG,Asia Pacific,Hong Kong,5,6.10
8.218.48.92,8880,8880,false,HKG,Asia Pacific,Hong Kong,5,5.77
183.232.159.172,2052,2086,false,HKG,Asia Pacific,Hong Kong,7,5.35
8.218.48.92,2082,2082,false,HKG,Asia Pacific,Hong Kong,5,5.12
8.218.48.92,2096,2096,true,HKG,Asia Pacific,Hong Kong,6,4.24
47.239.52.57,8443,443,true,HKG,Asia Pacific,Hong Kong,5,4.16
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,7,3.58
154.88.25.179,28985,443,true,HKG,Asia Pacific,Hong Kong,5,3.38
47.76.178.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,5,3.29
47.238.6.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,5,2.94
154.12.60.51,443,443,true,HKG,Asia Pacific,Hong Kong,5,2.80
47.76.146.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,7,2.77
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,6,2.59
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,6,2.57
47.243.70.186,2083,2083,true,HKG,Asia Pacific,Hong Kong,6,2.15
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,5,1.66
47.76.218.163,443,443,true,HKG,Asia Pacific,Hong Kong,6,1.33
47.76.189.214,443,443,true,HKG,Asia Pacific,Hong Kong,5,1.24
47.238.35.50,2087,2087,true,HKG,Asia Pacific,Hong Kong,7,1.20
47.76.178.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,5,1.16
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,5,1.11
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,6,0.46
8.217.121.207,8880,8880,false,HKG,Asia Pacific,Hong Kong,5,0.45
8.218.48.92,2086,2086,false,HKG,Asia Pacific,Hong Kong,7,0.42
47.76.146.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,7,0.42
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,5,0.42
47.238.5.0,8443,8443,true,HKG,Asia Pacific,Hong Kong,5,0.37
47.76.178.146,443,443,true,HKG,Asia Pacific,Hong Kong,5,0.28
47.76.37.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,7,0.27
8.217.121.207,2086,2086,false,HKG,Asia Pacific,Hong Kong,5,0.16
43.135.95.17,443,443,true,HKG,Asia Pacific,Hong Kong,5,0.15
128.1.132.82,443,443,true,HKG,Asia Pacific,Hong Kong,5,0.12
154.204.56.238,34237,2096,true,HKG,Asia Pacific,Hong Kong,6,0.05
103.20.223.16,50048,443,true,HKG,Asia Pacific,Hong Kong,6,0.04
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,6,0.01
47.57.13.107,80,80,false,HKG,Asia Pacific,Hong Kong,6,0.00
45.87.102.140,24852,443,true,HKG,Asia Pacific,Hong Kong,5,0.00
154.3.38.140,22388,443,true,HKG,Asia Pacific,Hong Kong,5,0.00
23.225.64.61,27638,443,true,HKG,Asia Pacific,Hong Kong,7,0.00
23.225.64.61,15651,443,true,HKG,Asia Pacific,Hong Kong,6,0.00
129.226.12.38,443,443,true,HKG,Asia Pacific,Hong Kong,6,0.00
43.154.104.77,443,443,true,HKG,Asia Pacific,Hong Kong,5,0.00
178.173.237.166,30809,80,false,HKG,Asia Pacific,Hong Kong,7,0.00
157.254.32.14,30809,80,false,HKG,Asia Pacific,Hong Kong,5,0.00
47.76.37.57,8080,8080,false,HKG,Asia Pacific,Hong Kong,6,0.00
47.76.49.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,5,0.00
178.173.237.179,30809,80,false,HKG,Asia Pacific,Hong Kong,5,0.00
194.104.146.124,30809,80,false,HKG,Asia Pacific,Hong Kong,6,0.00
