IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.9.152,8880,8880,false,SIN,Asia Pacific,Singapore,11,11.80
47.237.82.15,8080,8080,false,SIN,Asia Pacific,Singapore,8,10.73
8.219.194.170,2052,2052,false,SIN,Asia Pacific,Singapore,10,8.93
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,6,8.31
47.236.146.249,80,80,false,SIN,Asia Pacific,Singapore,9,8.20
47.236.146.249,2087,2087,true,SIN,Asia Pacific,Singapore,9,7.67
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,14,7.41
47.236.170.225,2053,2053,true,SIN,Asia Pacific,Singapore,6,7.27
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,9,6.71
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,6,6.66
47.237.95.156,2086,2086,false,SIN,Asia Pacific,Singapore,9,6.44
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,4,5.66
47.236.170.225,8880,8880,false,SIN,Asia Pacific,Singapore,8,5.44
47.237.95.140,2052,2052,false,SIN,Asia Pacific,Singapore,10,5.22
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,8,5.14
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,9,5.08
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,14,5.03
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,13,4.93
47.236.145.85,2052,2052,false,SIN,Asia Pacific,Singapore,15,4.90
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,14,4.88
47.237.100.206,80,80,false,SIN,Asia Pacific,Singapore,13,4.79
47.237.95.146,8080,8080,false,SIN,Asia Pacific,Singapore,13,4.71
47.236.145.85,2087,2087,true,SIN,Asia Pacific,Singapore,15,4.42
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,6,4.29
47.237.92.26,8080,8080,false,SIN,Asia Pacific,Singapore,10,4.04
47.237.125.8,8443,8443,true,SIN,Asia Pacific,Singapore,10,3.92
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,9,3.81
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,13,3.78
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,15,3.69
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,9,3.62
47.238.36.145,80,443,true,SIN,Asia Pacific,Singapore,10,3.57
8.222.193.65,8443,8443,true,SIN,Asia Pacific,Singapore,6,3.54
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,14,3.54
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,13,3.51
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,15,3.31
47.237.100.206,2086,2086,false,SIN,Asia Pacific,Singapore,7,3.28
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,8,3.28
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,6,3.24
52.163.67.59,80,80,false,SIN,Asia Pacific,Singapore,14,3.22
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,9,3.22
47.236.172.95,2086,2086,false,SIN,Asia Pacific,Singapore,13,3.12
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,10,3.05
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,9,3.02
47.236.146.249,2086,2086,false,SIN,Asia Pacific,Singapore,9,2.96
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,6,2.93
47.245.126.151,2082,2082,false,SIN,Asia Pacific,Singapore,9,2.92
47.237.0.31,2082,2082,false,SIN,Asia Pacific,Singapore,3,2.90
47.236.197.190,8443,443,true,SIN,Asia Pacific,Singapore,15,2.89
47.236.170.225,2095,2095,false,SIN,Asia Pacific,Singapore,9,2.81
47.237.95.13,2096,2096,true,SIN,Asia Pacific,Singapore,7,2.68
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,13,2.64
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,10,2.60
47.237.125.8,2053,2053,true,SIN,Asia Pacific,Singapore,5,2.26
